Date,Performance_LP,Brand_LP,Performance_Imp,Brand_Imp,Performance_Revenue
1/2/2018,1235,1030,269956,344,1800
1/3/2018,1831,913,305028,278,8940
1/4/2018,1750,630,309233,181,7015
1/5/2018,1831,688,302481,192,3970
1/6/2018,1736,533,286742,180,5540
1/7/2018,1690,532,311284,160,4360
1/8/2018,1845,758,302271,197,11000
1/9/2018,1649,601,290642,139,1260
1/10/2018,1884,624,291329,132,4035
1/11/2018,1718,497,343358,146,9875
1/12/2018,1919,553,331232,141,2090
1/13/2018,1551,381,166987,99,3425
1/14/2018,1780,465,144169,94,3435
1/15/2018,1618,390,164202,187,7630
1/16/2018,1625,297,437561,115,9180
1/17/2018,1907,375,463286,132,3040
1/18/2018,1726,318,353947,101,9660
1/19/2018,2069,355,511512,87,10765
1/20/2018,1614,194,466749,107,4595
1/21/2018,1584,152,451926,108,1845
1/22/2018,2105,147,722386,109,4240
1/23/2018,1932,107,522999,168,14295
1/24/2018,2382,122,503010,145,8965
1/25/2018,1938,409,525649,902058,20370
1/26/2018,1888,2663,437189,1183997,2185
1/27/2018,1155,4202,468638,1910096,2900
1/28/2018,1209,3748,313053,1486074,2965
1/29/2018,1202,3497,153931,1593679,6235
1/30/2018,853,3687,174534,1740341,2765
1/31/2018,1007,3840,172544,1646115,6080
2/1/2018,1724,3899,538460,1857349,5105
2/2/2018,1656,3673,591538,1766790,17915
2/3/2018,1707,4620,474513,1527989,3295
2/4/2018,1645,5102,455989,1406502,3005
2/5/2018,1645,4522,498637,1534311,9795
2/6/2018,1794,18062,548365,2877927,10220
2/7/2018,1805,13402,573336,2627065,16875
2/8/2018,1872,10733,646230,2414372,17430
2/9/2018,1690,10667,678225,2483358,15765
2/10/2018,1708,13077,601445,2304364,9880
2/11/2018,1739,13362,549983,2115541,5635
2/12/2018,1724,11878,589536,4112619,17640
2/13/2018,1848,11334,696132,4486826,9855
2/14/2018,2033,8119,704484,4537829,5635
2/15/2018,1733,1374,718748,361,9170
2/16/2018,1732,1198,699444,114,2525
2/17/2018,1595,877,416408,53,6920
2/18/2018,1410,830,356652,80,2295
2/19/2018,1595,1231,380540,74,7230
2/20/2018,1549,1113,367959,77,1255
2/21/2018,1735,1219,266012,76,0
2/22/2018,1678,1630,335582,118,1815
2/23/2018,1800,3482,533297,1015206,1375
2/24/2018,1342,2741,104294,922138,2585
2/25/2018,1946,3180,513281,985650,775
2/26/2018,1309,3061,76083,1033437,3720
2/27/2018,2430,4877,1918701,4584782,2325
2/28/2018,1367,2679,453491,738601,5920
3/1/2018,2196,2684,1356451,610803,5385
3/2/2018,1965,2441,658240,488063,1400
3/3/2018,1757,2406,733237,589349,430
3/4/2018,1527,2255,613468,583308,1070
3/5/2018,1811,2242,642121,501560,4635
3/6/2018,1859,2163,679820,438116,8140
3/7/2018,2021,2474,739034,507163,6190
3/8/2018,1783,1934,748732,473365,4050
3/9/2018,1892,1928,659173,451341,2425
3/10/2018,1610,1496,493665,348053,1095
3/11/2018,1237,1105,9120,5978,5590
3/12/2018,1576,1403,7351,37916,4820
3/13/2018,990,889,7449,57532,6410
3/14/2018,1233,1186,9653,39248,4240
3/15/2018,1008,1063,10356,35353,9855
3/16/2018,1108,1152,9030,32929,3440
3/17/2018,1047,1031,8357,27256,2720
3/18/2018,887,881,8479,32784,650
3/19/2018,1390,1127,529701,446883,845
3/20/2018,1875,1297,1378756,507697,5410
3/21/2018,2395,1687,1700825,802950,2695
3/22/2018,2257,1534,1853556,915437,2000
3/23/2018,2537,1789,2058015,979283,3480
3/24/2018,1980,1393,1783385,917756,10650
3/25/2018,1830,1347,1410658,931079,2245
3/26/2018,2179,1635,1782881,979444,5950
3/27/2018,1655,1391,1236115,914323,2935
3/28/2018,1260,1542,323096,821032,2940
