Week,Partner,Campaign.Name,Campaign_Type,CTA,Creative_Message,Product,Audience,Theme,Background Color,Material,Person,Size,Product_Count,OCR_Accuracy,Imp,Visits,CTR,IVR,CPR
5/6/2018,XAXIS,DAV_MTH_200,Brand,SHOP NOW,DAVID YURMAN SHOP NOW,Ring,Women,Product,Off White,"Gold, Pearl",N,300x250,3,1,683854,590,0.001076253,0.477966102,0.241004636
4/15/2018,XAXIS,DAV_MTH_200,Brand,SHOP NOW,DAVID YURMAN SHOP NOW,Ring,Women,Product,Off White,"Gold, Pearl",N,300x250,3,1,344469,279,0.001033475,0.462365591,Inf
4/29/2018,XAXIS,DAV_MTH_200,Brand,SHOP NOW,DAVID YURMAN SHOP NOW,Ring,Women,Product,Off White,"Gold, Pearl",N,300x250,3,1,590807,521,0.001196668,0.460652591,1.663136969
4/15/2018,WHO WHAT WEAR,DAV_MTH_200,Brand,SHOP NOW,DAVID YURMAN SHOP NOW,Ring,Women,Product,Off White,"Gold, Pearl",N,300x250,3,1,3213,7,0.002489885,0.428571429,NA
4/15/2018,UNDERTONE,DAV_MTH_200,Brand,SHOP NOW,DAVID YURMAN SHOP NOW,Ring,Women,Product,Off White,"Gold, Pearl",N,300x250,3,1,71646,39,0.001116601,0.358974359,NA
4/29/2018,WHO WHAT WEAR,DAV_MTH_200,Brand,SHOP NOW,DAVID YURMAN SHOP NOW,Ring,Women,Product,Off White,"Gold, Pearl",N,300x250,3,1,2965,6,0.001349073,0.333333333,NA
4/29/2018,UNDERTONE,DAV_MTH_200,Brand,SHOP NOW,DAVID YURMAN SHOP NOW,Ring,Women,Product,Off White,"Gold, Pearl",N,300x250,3,1,79368,38,0.00136075,0.368421053,NA
4/22/2018,UNDERTONE,DAV_MTH_200,Brand,SHOP NOW,DAVID YURMAN SHOP NOW,Ring,Women,Product,Off White,"Gold, Pearl",N,300x250,3,1,76989,32,0.001156009,0.28125,NA
5/6/2018,UNDERTONE,DAV_MTH_200,Brand,SHOP NOW,DAVID YURMAN SHOP NOW,Ring,Women,Product,Off White,"Gold, Pearl",N,300x250,3,1,113763,42,0.001213048,0.428571429,NA
4/22/2018,WHO WHAT WEAR,DAV_MTH_200,Brand,SHOP NOW,DAVID YURMAN SHOP NOW,Ring,Women,Product,Off White,"Gold, Pearl",N,300x250,3,1,3012,6,0.002988048,0.5,NA
5/6/2018,WHO WHAT WEAR,DAV_MTH_200,Brand,SHOP NOW,DAVID YURMAN SHOP NOW,Ring,Women,Product,Off White,"Gold, Pearl",N,300x250,3,1,2800,7,0.003214286,0.428571429,NA
4/22/2018,XAXIS,DAV_MTH_200,Brand,SHOP NOW,DAVID YURMAN SHOP NOW,Ring,Women,Product,Off White,"Gold, Pearl",N,300x250,3,1,328150,295,0.001115344,0.474576271,Inf
4/22/2018,UNDERTONE,DAV_MTH_200,Brand,SHOP NOW,DAVID YURMAN SHOP NOW,Bracelet,Women,Product,Off White,"Silver, Gold",N,160x600,2,1,30624,4,0.00039185,0.25,NA
4/29/2018,UNDERTONE,DAV_MTH_200,Brand,SHOP NOW,DAVID YURMAN SHOP NOW,Bracelet,Women,Product,Off White,"Silver, Gold",N,160x600,2,1,19786,9,0.000505408,0.333333333,NA
4/22/2018,XAXIS,DAV_MTH_200,Brand,SHOP NOW,DAVID YURMAN SHOP NOW,Bracelet,Women,Product,Off White,"Silver, Gold",N,160x600,2,1,25720,11,0.000699844,0.272727273,Inf
5/6/2018,UNDERTONE,DAV_MTH_200,Brand,SHOP NOW,DAVID YURMAN SHOP NOW,Bracelet,Women,Product,Off White,"Silver, Gold",N,160x600,2,1,24096,7,0.000207503,0.142857143,NA
4/15/2018,XAXIS,DAV_MTH_200,Brand,SHOP NOW,DAVID YURMAN SHOP NOW,Bracelet,Women,Product,Off White,"Silver, Gold",N,160x600,2,1,27930,12,0.000823487,0.333333333,Inf
5/6/2018,XAXIS,DAV_MTH_200,Brand,SHOP NOW,DAVID YURMAN SHOP NOW,Bracelet,Women,Product,Off White,"Silver, Gold",N,160x600,2,1,39147,19,0.000817432,0.631578947,Inf
4/15/2018,UNDERTONE,DAV_MTH_200,Brand,SHOP NOW,DAVID YURMAN SHOP NOW,Bracelet,Women,Product,Off White,"Silver, Gold",N,160x600,2,1,23311,5,0.000214491,0,NA
4/29/2018,XAXIS,DAV_MTH_200,Brand,SHOP NOW,DAVID YURMAN SHOP NOW,Bracelet,Women,Product,Off White,"Silver, Gold",N,160x600,2,1,39826,23,0.000878823,0.260869565,Inf
5/6/2018,WHO WHAT WEAR,DAV_MTH_200,Brand,SHOP NOW,DAVID YURMAN SHOP NOW,Ring,Women,Product,Off White,"Silver, Gold, Gem",N,728x90,1,1,957,1,0.002089864,0,NA
5/6/2018,XAXIS,DAV_MTH_200,Brand,SHOP NOW,DAVID YURMAN SHOP NOW,Ring,Women,Product,Off White,"Silver, Gold, Gem",N,728x90,1,1,251358,462,0.003767535,0.203463203,Inf
4/15/2018,XAXIS,DAV_MTH_200,Brand,SHOP NOW,DAVID YURMAN SHOP NOW,Ring,Women,Product,Off White,"Silver, Gold, Gem",N,728x90,1,1,192473,208,0.002015867,0.336538462,Inf
4/22/2018,WHO WHAT WEAR,DAV_MTH_200,Brand,SHOP NOW,DAVID YURMAN SHOP NOW,Ring,Women,Product,Off White,"Silver, Gold, Gem",N,728x90,1,1,1031,0,0.001939864,NA,NA
4/29/2018,XAXIS,DAV_MTH_200,Brand,SHOP NOW,DAVID YURMAN SHOP NOW,Ring,Women,Product,Off White,"Silver, Gold, Gem",N,728x90,1,1,252811,391,0.003124864,0.265984655,1.625724852
5/6/2018,UNDERTONE,DAV_MTH_200,Brand,SHOP NOW,DAVID YURMAN SHOP NOW,Ring,Women,Product,Off White,"Silver, Gold, Gem",N,728x90,1,1,37980,16,0.000526593,0.3125,NA
4/29/2018,UNDERTONE,DAV_MTH_200,Brand,SHOP NOW,DAVID YURMAN SHOP NOW,Ring,Women,Product,Off White,"Silver, Gold, Gem",N,728x90,1,1,28576,13,0.000664894,0.230769231,NA
4/15/2018,WHO WHAT WEAR,DAV_MTH_200,Brand,SHOP NOW,DAVID YURMAN SHOP NOW,Ring,Women,Product,Off White,"Silver, Gold, Gem",N,728x90,1,1,1042,0,0.001919386,NA,NA
4/22/2018,XAXIS,DAV_MTH_200,Brand,SHOP NOW,DAVID YURMAN SHOP NOW,Ring,Women,Product,Off White,"Silver, Gold, Gem",N,728x90,1,1,163536,202,0.002238039,0.247524752,Inf
4/22/2018,UNDERTONE,DAV_MTH_200,Brand,SHOP NOW,DAVID YURMAN SHOP NOW,Ring,Women,Product,Off White,"Silver, Gold, Gem",N,728x90,1,1,37623,10,0.000584749,0.1,NA
4/15/2018,UNDERTONE,DAV_MTH_200,Brand,SHOP NOW,DAVID YURMAN SHOP NOW,Ring,Women,Product,Off White,"Silver, Gold, Gem",N,728x90,1,1,42639,10,0.000727034,0.3,NA
4/29/2018,WHO WHAT WEAR,DAV_MTH_200,Brand,SHOP NOW,DAVID YURMAN SHOP NOW,Ring,Women,Product,Off White,"Silver, Gold, Gem",N,728x90,1,1,1104,1,0.000905797,1,NA
4/22/2018,WHO WHAT WEAR,DAV_MTH_200,Brand,SHOP NOW,DAVID YURMAN SHOP NOW,Bracelet,Women,Product,Off White,"Gold, Turquoise, Gem",N,970x250,3,1,986,0,0.003042596,NA,NA
5/6/2018,WHO WHAT WEAR,DAV_MTH_200,Brand,SHOP NOW,DAVID YURMAN SHOP NOW,Bracelet,Women,Product,Off White,"Gold, Turquoise, Gem",N,970x250,3,1,1007,0,0.003972195,NA,NA
4/29/2018,WHO WHAT WEAR,DAV_MTH_200,Brand,SHOP NOW,DAVID YURMAN SHOP NOW,Bracelet,Women,Product,Off White,"Gold, Turquoise, Gem",N,970x250,3,1,1016,0,0.000984252,NA,NA
5/6/2018,XAXIS,DAV_MTH_200,Brand,SHOP NOW,DAVID YURMAN SHOP NOW,Ring,Women,Product,Off White,"Gold, Pearl",N,160x600,1,1,38587,22,0.000751548,0.590909091,Inf
4/15/2018,XAXIS,DAV_MTH_200,Brand,SHOP NOW,DAVID YURMAN SHOP NOW,Ring,Women,Product,Off White,"Gold, Pearl",N,160x600,1,1,27947,16,0.001001896,0.4375,Inf
4/29/2018,UNDERTONE,DAV_MTH_200,Brand,SHOP NOW,DAVID YURMAN SHOP NOW,Ring,Women,Product,Off White,"Gold, Pearl",N,160x600,1,1,19873,11,0.000654154,0,NA
4/29/2018,XAXIS,DAV_MTH_200,Brand,SHOP NOW,DAVID YURMAN SHOP NOW,Ring,Women,Product,Off White,"Gold, Pearl",N,160x600,1,1,39809,29,0.001029918,0.413793103,Inf
4/22/2018,XAXIS,DAV_MTH_200,Brand,SHOP NOW,DAVID YURMAN SHOP NOW,Ring,Women,Product,Off White,"Gold, Pearl",N,160x600,1,1,25661,20,0.001013211,0.45,Inf
4/22/2018,UNDERTONE,DAV_MTH_200,Brand,SHOP NOW,DAVID YURMAN SHOP NOW,Ring,Women,Product,Off White,"Gold, Pearl",N,160x600,1,1,30423,6,0.000427308,0.166666667,NA
4/15/2018,UNDERTONE,DAV_MTH_200,Brand,SHOP NOW,DAVID YURMAN SHOP NOW,Ring,Women,Product,Off White,"Gold, Pearl",N,160x600,1,1,23171,6,0.000302102,0.333333333,NA
5/6/2018,UNDERTONE,DAV_MTH_200,Brand,SHOP NOW,DAVID YURMAN SHOP NOW,Ring,Women,Product,Off White,"Gold, Pearl",N,160x600,1,1,23893,17,0.000585946,0,0
4/8/2018,UNDERTONE,DAV_MTH_200,Brand,SHOP NOW,DAVID YURMAN SHOP NOW,Nothing,ALL,Other,Off Black,Nothing,N,320x50,0,1,1393,0,0,NA,NA
4/15/2018,XAXIS,DAV_MTH_200,Brand,SHOP NOW,DAVID YURMAN SHOP NOW,Nothing,ALL,Other,Off Black,Nothing,N,320x50,0,1,347372,220,0.001281047,0.131818182,Inf
4/22/2018,XAXIS,DAV_MTH_200,Brand,SHOP NOW,DAVID YURMAN SHOP NOW,Nothing,ALL,Other,Off Black,Nothing,N,320x50,0,1,371589,311,0.001741171,0.115755627,Inf
4/22/2018,UNDERTONE,DAV_MTH_200,Brand,SHOP NOW,DAVID YURMAN SHOP NOW,Nothing,ALL,Other,Off Black,Nothing,N,320x50,0,1,864,1,0.001157407,0,NA
5/6/2018,XAXIS,DAV_MTH_200,Brand,SHOP NOW,DAVID YURMAN SHOP NOW,Nothing,ALL,Other,Off Black,Nothing,N,320x50,0,1,497517,517,0.001706474,0.098646035,Inf
4/15/2018,UNDERTONE,DAV_MTH_200,Brand,SHOP NOW,DAVID YURMAN SHOP NOW,Nothing,ALL,Other,Off Black,Nothing,N,320x50,0,1,41294,27,0.001089747,0.074074074,NA
5/6/2018,UNDERTONE,DAV_MTH_200,Brand,SHOP NOW,DAVID YURMAN SHOP NOW,Nothing,ALL,Other,Off Black,Nothing,N,320x50,0,1,16878,6,0.000355492,0,NA
4/29/2018,XAXIS,DAV_MTH_200,Brand,SHOP NOW,DAVID YURMAN SHOP NOW,Nothing,ALL,Other,Off Black,Nothing,N,320x50,0,1,561407,566,0.002078706,0.098939929,Inf
4/29/2018,UNDERTONE,DAV_MTH_200,Brand,SHOP NOW,DAVID YURMAN SHOP NOW,Ring,Women,Product,Off White,"Gold, Pearl",N,728x90,1,1,28711,16,0.001219045,0.375,NA
5/6/2018,UNDERTONE,DAV_MTH_200,Brand,SHOP NOW,DAVID YURMAN SHOP NOW,Ring,Women,Product,Off White,"Gold, Pearl",N,728x90,1,1,38240,14,0.000549163,0.071428571,NA
4/15/2018,XAXIS,DAV_MTH_200,Brand,SHOP NOW,DAVID YURMAN SHOP NOW,Ring,Women,Product,Off White,"Gold, Pearl",N,728x90,1,1,192414,233,0.002198385,0.321888412,Inf
5/6/2018,WHO WHAT WEAR,DAV_MTH_200,Brand,SHOP NOW,DAVID YURMAN SHOP NOW,Ring,Women,Product,Off White,"Gold, Pearl",N,728x90,1,1,939,0,0.001064963,NA,NA
4/22/2018,UNDERTONE,DAV_MTH_200,Brand,SHOP NOW,DAVID YURMAN SHOP NOW,Ring,Women,Product,Off White,"Gold, Pearl",N,728x90,1,1,37850,18,0.000792602,0.222222222,NA
4/15/2018,UNDERTONE,DAV_MTH_200,Brand,SHOP NOW,DAVID YURMAN SHOP NOW,Ring,Women,Product,Off White,"Gold, Pearl",N,728x90,1,1,42452,29,0.001012909,0.379310345,NA
4/29/2018,XAXIS,DAV_MTH_200,Brand,SHOP NOW,DAVID YURMAN SHOP NOW,Ring,Women,Product,Off White,"Gold, Pearl",N,728x90,1,1,253546,455,0.003407666,0.301098901,Inf
4/22/2018,WHO WHAT WEAR,DAV_MTH_200,Brand,SHOP NOW,DAVID YURMAN SHOP NOW,Ring,Women,Product,Off White,"Gold, Pearl",N,728x90,1,1,1033,1,0.002904163,1,NA
5/6/2018,XAXIS,DAV_MTH_200,Brand,SHOP NOW,DAVID YURMAN SHOP NOW,Ring,Women,Product,Off White,"Gold, Pearl",N,728x90,1,1,251969,499,0.00391318,0.246492986,Inf
4/29/2018,WHO WHAT WEAR,DAV_MTH_200,Brand,SHOP NOW,DAVID YURMAN SHOP NOW,Ring,Women,Product,Off White,"Gold, Pearl",N,728x90,1,1,1118,1,0.000894454,1,NA
4/15/2018,WHO WHAT WEAR,DAV_MTH_200,Brand,SHOP NOW,DAVID YURMAN SHOP NOW,Ring,Women,Product,Off White,"Gold, Pearl",N,728x90,1,1,1008,0,0.000992063,NA,NA
4/22/2018,XAXIS,DAV_MTH_200,Brand,SHOP NOW,DAVID YURMAN SHOP NOW,Ring,Women,Product,Off White,"Gold, Pearl",N,728x90,1,1,162857,226,0.002566669,0.247787611,Inf
4/29/2018,WHO WHAT WEAR,DAV_MTH_200,Brand,SHOP NOW,DAVID YURMAN SHOP NOW,Ring,Women,Product,Off White,"Gold, Pearl",N,970x250,3,1,1040,0,0.000961538,NA,NA
4/15/2018,WHO WHAT WEAR,DAV_MTH_200,Brand,SHOP NOW,DAVID YURMAN SHOP NOW,Ring,Women,Product,Off White,"Gold, Pearl",N,970x250,3,1,640,1,0.003125,1,NA
5/6/2018,WHO WHAT WEAR,DAV_MTH_200,Brand,SHOP NOW,DAVID YURMAN SHOP NOW,Ring,Women,Product,Off White,"Gold, Pearl",N,970x250,3,1,977,3,0.005117707,0.333333333,NA
4/22/2018,WHO WHAT WEAR,DAV_MTH_200,Brand,SHOP NOW,DAVID YURMAN SHOP NOW,Ring,Women,Product,Off White,"Gold, Pearl",N,970x250,3,1,924,1,0.001082251,0,NA
4/29/2018,UNDERTONE,DAV_MTH_200,Brand,SHOP NOW,DAVID YURMAN SHOP NOW,Ring,Women,Product,Off White,"Silver, Gold, Gem",N,160x600,3,1,19981,7,0.00040038,0.142857143,NA
4/15/2018,XAXIS,DAV_MTH_200,Brand,SHOP NOW,DAVID YURMAN SHOP NOW,Ring,Women,Product,Off White,"Silver, Gold, Gem",N,160x600,3,1,27927,13,0.000930999,0.461538462,Inf
5/6/2018,XAXIS,DAV_MTH_200,Brand,SHOP NOW,DAVID YURMAN SHOP NOW,Ring,Women,Product,Off White,"Silver, Gold, Gem",N,160x600,3,1,38841,17,0.000798126,0.588235294,Inf
5/6/2018,UNDERTONE,DAV_MTH_200,Brand,SHOP NOW,DAVID YURMAN SHOP NOW,Ring,Women,Product,Off White,"Silver, Gold, Gem",N,160x600,3,1,23478,7,0.000383338,0.142857143,NA
4/15/2018,UNDERTONE,DAV_MTH_200,Brand,SHOP NOW,DAVID YURMAN SHOP NOW,Ring,Women,Product,Off White,"Silver, Gold, Gem",N,160x600,3,1,23290,2,0.000343495,0,NA
4/22/2018,UNDERTONE,DAV_MTH_200,Brand,SHOP NOW,DAVID YURMAN SHOP NOW,Ring,Women,Product,Off White,"Silver, Gold, Gem",N,160x600,3,1,30943,4,0.00025854,0,NA
4/29/2018,XAXIS,DAV_MTH_200,Brand,SHOP NOW,DAVID YURMAN SHOP NOW,Ring,Women,Product,Off White,"Silver, Gold, Gem",N,160x600,3,1,39179,19,0.000689145,0.315789474,Inf
4/22/2018,XAXIS,DAV_MTH_200,Brand,SHOP NOW,DAVID YURMAN SHOP NOW,Ring,Women,Product,Off White,"Silver, Gold, Gem",N,160x600,3,1,25359,7,0.000591506,0.714285714,Inf
4/22/2018,WHO WHAT WEAR,DAV_MTH_200,Brand,SHOP NOW,DAVID YURMAN SHOP NOW,Ring,Women,Product,Off White,"Silver, Gold, Gem",N,970x250,3,1,903,0,0.00110742,NA,NA
4/15/2018,WHO WHAT WEAR,DAV_MTH_200,Brand,SHOP NOW,DAVID YURMAN SHOP NOW,Ring,Women,Product,Off White,"Silver, Gold, Gem",N,970x250,3,1,660,3,0.007575758,0.666666667,NA
5/6/2018,WHO WHAT WEAR,DAV_MTH_200,Brand,SHOP NOW,DAVID YURMAN SHOP NOW,Ring,Women,Product,Off White,"Silver, Gold, Gem",N,970x250,3,1,960,2,0.003125,0.5,NA
4/29/2018,WHO WHAT WEAR,DAV_MTH_200,Brand,SHOP NOW,DAVID YURMAN SHOP NOW,Ring,Women,Product,Off White,"Silver, Gold, Gem",N,970x250,3,1,1094,2,0.003656307,0.5,NA
4/22/2018,XAXIS,DAV_MTH_200,Brand,SHOP NOW,DAVID YURMAN SHOP NOW,Bracelet,Women,Product,Off White,"Gold, Turquoise, Gem",N,728x90,1,1,163449,97,0.002655262,0.154639175,Inf
4/29/2018,XAXIS,DAV_MTH_200,Brand,SHOP NOW,DAVID YURMAN SHOP NOW,Bracelet,Women,Product,Off White,"Gold, Turquoise, Gem",N,728x90,1,1,252407,189,0.002919887,0.26984127,Inf
4/29/2018,UNDERTONE,DAV_MTH_200,Brand,SHOP NOW,DAVID YURMAN SHOP NOW,Bracelet,Women,Product,Off White,"Gold, Turquoise, Gem",N,728x90,1,1,28567,10,0.000980152,0.2,NA
4/15/2018,UNDERTONE,DAV_MTH_200,Brand,SHOP NOW,DAVID YURMAN SHOP NOW,Bracelet,Women,Product,Off White,"Gold, Turquoise, Gem",N,728x90,1,1,22396,1,0.000669762,0,NA
