Week,Partner,Campaign,CTA,Creative_Message,Product,Audience,Theme,Background_Color,Material,Person,Size,Campaign_Type,Creative_Audience,Product_Count,Imp,Clicks,LP_Conversions,Visits,I_Visits,Orders,Revenue
1/1/2017,BRIDES.COM,DAV_WED_101,N/A,DAVID YURMAN,Ring,Wedding,Product,White,"Silver, Gold, Diamond",N,300x250,Brand,Wedding,3,0,0,NA,0,0,0,0
1/1/2017,BRIDES.COM,DAV_WED_101,N/A,DAVID YURMAN,Ring,Wedding,Product,White,"Silver, Gem",N,300x250,Brand,Wedding,2,0,0,NA,0,0,0,0
1/1/2017,NEW YORK TIMES DIGIT,DAV_HOL_100,SHOP NOW,DAVID YURMAN THE GIFT OF LOVE AND LIGHT SHOP NOW,Bracelet,Women,Product,White,"Silver, Gem",N,970x90,Brand,Women,3,0,0,NA,0,0,0,0
1/1/2017,XAXIS,DAV_HOL_100,SHOP NOW,DAVID YURMAN THE GIFT OF LOVE AND LIGHT SHOP NOW,Necklace,Women,Product,White,"Silver, Stone",N,160x600,Brand,Women,3,0,0,NA,0,0,0,0
1/1/2017,XAXIS,DAV_HOL_100,SHOP NOW,DAVID YURMAN THE GIFT OF LOVE AND LIGHT SHOP NOW,"Necklace, Bracelet, Ring",Women,Lifestyle,White,Gold,Y,160x600,Brand,Women,5+,6,0,NA,0,0,1,1400
1/1/2017,NEW YORK TIMES DIGIT,DAV_HOL_100,SHOP NOW,DAVID YURMAN THE GIFT OF LOVE AND LIGHT SHOP NOW,"Bracelet, Ring",Women,Lifestyle,Black / White,Gold,Y,970x250,Brand,Women,2,8,2,NA,0,0,2,1010
1/1/2017,NEW YORK TIMES DIGIT,DAV_HOL_100,SHOP NOW,DAVID YURMAN THE GIFT OF LOVE AND LIGHT SHOP NOW,"Necklace, Bracelet, Ring",Women,Lifestyle,White,Gold,Y,970x250,Brand,Women,5+,6,0,NA,0,0,1,795
1/1/2017,WHO WHAT WEAR,DAV_WED_101,N/A,DAVID YURMAN,N/A,ALL,Other,Black,N/A,N,320x50,Brand,General,N/A,2,0,NA,0,0,0,0
1/1/2017,NYMAG.COM,NA,N/A,DAVID YURMAN,Ring,Wedding,Product,White,"Silver, Gold, Diamond",N,300x250,NA,Wedding,3,0,0,NA,0,0,0,0
1/1/2017,XAXIS,DAV_WED_101,N/A,DAVID YURMAN,Ring,Wedding,Product,White,"Silver, Gold, Diamond",N,300x250,Brand,Wedding,3,1,0,NA,0,0,6,4695
1/1/2017,WHO WHAT WEAR,DAV_WED_101,N/A,DAVID YURMAN,Ring,Wedding,Product,White,"Silver, Gold, Diamond",N,300x250,Brand,Wedding,3,2,0,NA,0,0,0,0
1/1/2017,CONDE NAST DIGITAL,NA,EXPLORE THE WEDDING COLLECTION,DAVID YURMAN BEYOND PERFECT EXPLORE THE WEDDING COLLECTION,Ring,Wedding,Product,White,"Silver, Gold, Diamond",N,970x250,NA,Wedding,3,0,0,NA,0,0,0,0
1/1/2017,CONDE NAST DIGITAL,NA,EXPLORE THE WEDDING COLLECTION,DAVID YURMAN BEYOND PERFECT EXPLORE THE WEDDING COLLECTION,Ring,Wedding,Product,White,"Silver, Gold, Diamond",N,300x600,NA,Wedding,3,0,0,NA,0,0,0,0
1/1/2017,XAXIS,DAV_WED_101,EXPLORE THE WEDDING COLLECTION,DAVID YURMAN BEYOND PERFECT EXPLORE THE WEDDING COLLECTION,Ring,Wedding,Product,White,"Silver, Gold, Diamond",N,300x600,Brand,Wedding,3,1,0,NA,0,0,0,0
