advertiser_id,advertiser_name,Creative_Type,creative_id,creative_name,raw OCR,Creative_Message,Size,CTA,joy_score,sorrow_score,surprise_score,label_score,label_detection,Assets,Background_Color,Product,# of products,Material,Person,Audience,Theme
5993807,David Yurman,IMAGE,73934171,PureForm_300X1050_Bracelets_Multi.jpg,DAV ID Y UR MAN EXPLORE PURE FORM,DAVID YURMAN EXPLORE PURE FORM,300x1050,EXPLORE PURE FORM,NA,NA,NA,0.950860322,Bangle,Bracelet,White,Bracelet,5,"Silver, Gold",N,Women,Product
5993807,David Yurman,IMAGE,73934173,PureForm_336X280_Bracelets_Gold Smooth.jpg,DAVID YURMAN,DAVID YURMAN,336x280,N/A,NA,NA,NA,0.907660663,"Body jewelry ,Jewellery ,Fashion accessory",Bracelet,White,Bracelet,2,"Silver, Gold",N,Women,Product
5993807,David Yurman,IMAGE,73934176,PureForm_900x540_Bracelets_Gold Cable.jpg,DAVID YURMAN EXPLORE PURE FORM,DAVID YURMAN EXPLORE PURE FORM,900x540,EXPLORE PURE FORM,NA,NA,NA,0.908287704,Ring,Bracelet,White,Bracelet,2,"Silver, Gold",N,Women,Product
5993807,David Yurman,IMAGE,73934177,PureForm_970x250_Bracelets_Gold Smooth.jpg,DAVID YURMAN EXPLORE PURE FORM,DAVID YURMAN EXPLORE PURE FORM,970x250,EXPLORE PURE FORM,NA,NA,NA,0.914643466,"Text ,Product",Bracelet,White,Bracelet,3,"Silver, Gold",N,Women,Product
5993807,David Yurman,IMAGE,73934453,PureForm_1140x380_Bracelets_Gold Smooth.jpg,DAVID YURMAN EXPLORE PURE FORM,DAVID YURMAN EXPLORE PURE FORM,1140x380,EXPLORE PURE FORM,NA,NA,NA,0.870419919,"Product ,Fashion accessory",Bracelet,White,Bracelet,2,"Silver, Gold",N,Women,Product
5993807,David Yurman,IMAGE,73934454,PureForm_160X600_Bracelets_Gold Cable.jpg,DAVID YURMAN EXPLORE PURE FORM,DAVID YURMAN EXPLORE PURE FORM,160x600,EXPLORE PURE FORM,NA,NA,NA,0.899963394,"Bangle ,Bracelet ,Jewellery ,Fashion accessory",Bracelet,White,Bracelet,1,"Silver, Gold",N,Women,Product
5993807,David Yurman,IMAGE,73934455,PureForm_160X600_Bracelets_Multi.jpg,DAVID YURMAN EXPLORE PURE FORM,DAVID YURMAN EXPLORE PURE FORM,160x600,EXPLORE PURE FORM,NA,NA,NA,0.934011181,"Bangle ,Jewellery ,Fashion accessory",Bracelet,White,Bracelet,1,"Silver, Gold",N,Women,Product
5993807,David Yurman,IMAGE,73934456,PureForm_300X250_Bracelets_Gold Cable.jpg,DAVID YURMAN,DAVID YURMAN,300x250,N/A,NA,NA,NA,0.872348875,"Ring ,Jewellery ,Fashion accessory ,Wedding ring",Bracelet,White,Bracelet,2,"Silver, Gold",N,Women,Product
5993807,David Yurman,IMAGE,73934457,PureForm_336X280_Bracelets_Gold Cable.jpg,DAVID YURMAN,DAVID YURMAN,336x280,N/A,NA,NA,NA,0.852588773,"Jewellery ,Fashion accessory",Bracelet,White,Bracelet,2,"Silver, Gold",N,Women,Product
5993807,David Yurman,IMAGE,73934460,PureForm_690x230_Bracelets_Gold Cable.jpg,าก DAVID YURMAN EXPLORE PURE FORM,DAVID YURMAN EXPLORE PURE FORM,690x230,EXPLORE PURE FORM,NA,NA,NA,0.852404207,"Text ,Fashion accessory",Bracelet,White,Bracelet,2,"Silver, Gold",N,Women,Product
5993807,David Yurman,IMAGE,73934558,PureForm_160X600_Bracelets_Gold Smooth.jpg,DAVID YURMAN EXPLORE PURE FORM,DAVID YURMAN EXPLORE PURE FORM,160x600,EXPLORE PURE FORM,NA,NA,NA,0.907510146,"Bangle ,Body jewelry ,Fashion accessory ,Jewellery",Bracelet,White,Bracelet,1,"Silver, Gold",N,Women,Product
5993807,David Yurman,IMAGE,73934560,PureForm_300X250_Bracelets_Gold Smooth.jpg,DAVID YURMAN,DAVID YURMAN,300x250,N/A,NA,NA,NA,0.881235093,"Body jewelry ,Bangle",Bracelet,White,Bracelet,2,"Silver, Gold",N,Women,Product
